# ----------------------------------------
# Páginas e telas: Caminho da página e classe da tela
# Conta: Fymoob - Reserva Barigui
# Propriedade: Fymoob - Reserva Barigui
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20260101
# Data de término: 20260429
Caminho da página e classe da tela,Visualizações,Usuários ativos,Visualizações por usuário ativo,Tempo médio de engajamento por usuário ativo,Contagem de eventos,Eventos principais,Receita total
/reservabarigui,1655,1146,1.4441535776614312,54.044502617801044,5658,0,0
/reservabarigui/,421,338,1.2455621301775148,64.55621301775147,1394,0,0
