# ----------------------------------------
# Aquisição de tráfego: Grupo principal de canais da sessão (Agrupamento de canais padrão)
# Conta: Fymoob - Reserva Barigui
# Propriedade: Fymoob - Reserva Barigui
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20260101
# Data de término: 20260429
Grupo principal de canais da sessão (Agrupamento de canais padrão),Sessões,Sessões engajadas,Taxa de engajamento,Tempo médio de engajamento por sessão,Eventos por sessão,Contagem de eventos,Eventos principais,Taxa de eventos principais da sessão,Receita total
Paid Search,1668,1011,0.6061151079136691,48.22841726618705,3.9694244604316546,6621,0,0,0
Direct,54,34,0.6296296296296297,30.666666666666668,4.407407407407407,238,0,0,0
Cross-network,19,13,0.6842105263157895,55.421052631578945,5.578947368421052,106,0,0,0
Unassigned,13,6,0.46153846153846156,25.53846153846154,3,39,0,0,0
Organic Search,11,10,0.9090909090909091,21.181818181818183,3.6363636363636362,40,0,0,0
Referral,3,1,0.3333333333333333,12,2.6666666666666665,8,0,0,0
